participant_name,order,group_id,sex,age,order_event,session_id,block_name,trial_name,event_name,cumulative_time,participant_response,key,pressed_or_released,correct_response,r_reaction_time,cr
1101.0,AutoBiography(AB) first,B to A,M,26.0,27.0,FIRST,pre N-back,"LOP_n=1, 1",Q,164467.0,Z,2.0,Pressed,/; Z,425,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,30.0,FIRST,pre N-back,"LOP_n=1, 2",Q,167452.0,Z,2.0,Pressed,/; Z,1375,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,33.0,FIRST,pre N-back,"LOP_n=1, 3",Q,169590.0,Z,2.0,Pressed,/; Z,523,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,36.0,FIRST,pre N-back,"LOP_n=1, 4",Q,171550.0,Z,2.0,Pressed,/; Z,345,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,39.0,FIRST,pre N-back,"LOP_n=1, 5",Q,173487.0,Z,2.0,Pressed,/; Z,327,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,42.0,FIRST,pre N-back,"LOP_n=1, 6",Q,175400.0,/,/,Pressed,/; Z,298,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,45.0,FIRST,pre N-back,"LOP_n=1, 7",Q,177071.0,Z,2.0,Pressed,/; Z,55,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,48.0,FIRST,pre N-back,"LOP_n=1, 8",Q,178760.0,Z,2.0,Pressed,/; Z,77,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,51.0,FIRST,pre N-back,"LOP_n=1, 9",Q,180502.0,Z,2.0,Pressed,/; Z,131,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,54.0,FIRST,pre N-back,"LOP_n=1, 10",Q,182233.0,Z,2.0,Pressed,/; Z,115,Incorrect
1101.0,AutoBiography(AB) first,B to A,M,26.0,57.0,FIRST,pre N-back,"LOP_n=1, 11",Q,184041.0,Z,2.0,Pressed,/; Z,194,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,60.0,FIRST,pre N-back,"LOP_n=1, 12",Q,185789.0,Z,2.0,Pressed,/; Z,132,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,63.0,FIRST,pre N-back,"LOP_n=1, 13",Q,187520.0,Z,2.0,Pressed,/; Z,120,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,66.0,FIRST,pre N-back,"LOP_n=1, 14",Q,189314.0,Z,2.0,Pressed,/; Z,184,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,69.0,FIRST,pre N-back,"LOP_n=1, 15",Q,191095.0,Z,2.0,Pressed,/; Z,169,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,72.0,FIRST,pre N-back,"LOP_n=1, 16",Q,192832.0,Z,2.0,Pressed,/; Z,127,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,75.0,FIRST,pre N-back,"LOP_n=1, 17",Q,194688.0,/,/,Pressed,/; Z,241,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,78.0,FIRST,pre N-back,"LOP_n=1, 18",Q,196407.0,Z,2.0,Pressed,/; Z,109,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,81.0,FIRST,pre N-back,"LOP_n=1, 19",Q,198252.0,Z,2.0,Pressed,/; Z,235,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,84.0,FIRST,pre N-back,"LOP_n=1, 20",Q,200016.0,Z,2.0,Pressed,/; Z,154,Incorrect
1101.0,AutoBiography(AB) first,B to A,M,26.0,87.0,FIRST,pre N-back,"LOP_n=1, 21",Q,201896.0,Z,2.0,Pressed,/; Z,271,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,90.0,FIRST,pre N-back,"LOP_n=1, 22",Q,203565.0,Z,2.0,Pressed,/; Z,59,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,93.0,FIRST,pre N-back,"LOP_n=1, 23",Q,205317.0,Z,2.0,Pressed,/; Z,136,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,96.0,FIRST,pre N-back,"LOP_n=1, 24",Q,207003.0,Z,2.0,Pressed,/; Z,76,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,99.0,FIRST,pre N-back,"LOP_n=1, 25",Q,208844.0,Z,2.0,Pressed,/; Z,230,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,102.0,FIRST,pre N-back,"LOP_n=1, 26",Q,210637.0,Z,2.0,Pressed,/; Z,178,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,105.0,FIRST,pre N-back,"LOP_n=1, 27",Q,212395.0,Z,2.0,Pressed,/; Z,148,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,108.0,FIRST,pre N-back,"LOP_n=1, 28",Q,214228.0,Z,2.0,Pressed,/; Z,218,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,111.0,FIRST,pre N-back,"LOP_n=1, 29",Q,216091.0,Z,2.0,Pressed,/; Z,253,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,114.0,FIRST,pre N-back,"LOP_n=1, 30",Q,217853.0,Z,2.0,Pressed,/; Z,146,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,124.0,FIRST,pre N-back,"LOP_n=2, 1",Q,234722.0,Z,2.0,Pressed,/; Z,1221,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,127.0,FIRST,pre N-back,"LOP_n=2, 2",Q,236767.0,Z,2.0,Pressed,/; Z,437,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,130.0,FIRST,pre N-back,"LOP_n=2, 3",Q,238645.0,Z,2.0,Pressed,/; Z,271,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,133.0,FIRST,pre N-back,"LOP_n=2, 4",Q,241705.0,Z,2.0,Pressed,/; Z,1453,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,136.0,FIRST,pre N-back,"LOP_n=2, 5",Q,244277.0,Z,2.0,Pressed,/; Z,964,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,139.0,FIRST,pre N-back,"LOP_n=2, 6",Q,246561.0,Z,2.0,Pressed,/; Z,678,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,142.0,FIRST,pre N-back,"LOP_n=2, 7",Q,249065.0,Z,2.0,Pressed,/; Z,897,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,145.0,FIRST,pre N-back,"LOP_n=2, 8",Q,251021.0,Z,2.0,Pressed,/; Z,351,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,148.0,FIRST,pre N-back,"LOP_n=2, 9",Q,253740.0,Z,2.0,Pressed,/; Z,1112,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,151.0,FIRST,pre N-back,"LOP_n=2, 10",Q,256219.0,Z,2.0,Pressed,/; Z,874,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,154.0,FIRST,pre N-back,"LOP_n=2, 11",Q,260770.0,Z,2.0,Pressed,/; Z,2943,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,157.0,FIRST,pre N-back,"LOP_n=2, 12",Q,263002.0,Z,2.0,Pressed,/; Z,624,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,160.0,FIRST,pre N-back,"LOP_n=2, 13",Q,265163.0,Z,2.0,Pressed,/; Z,554,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,163.0,FIRST,pre N-back,"LOP_n=2, 14",Q,267580.0,Z,2.0,Pressed,/; Z,810,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,166.0,FIRST,pre N-back,"LOP_n=2, 15",Q,269918.0,Z,2.0,Pressed,/; Z,731,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,169.0,FIRST,pre N-back,"LOP_n=2, 16",Q,272710.0,Z,2.0,Pressed,/; Z,1187,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,172.0,FIRST,pre N-back,"LOP_n=2, 17",Q,277998.0,/,/,Pressed,/; Z,3682,Incorrect
1101.0,AutoBiography(AB) first,B to A,M,26.0,175.0,FIRST,pre N-back,"LOP_n=2, 18",Q,280930.0,Z,2.0,Pressed,/; Z,1326,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,178.0,FIRST,pre N-back,"LOP_n=2, 19",Q,283632.0,Z,2.0,Pressed,/; Z,1094,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,181.0,FIRST,pre N-back,"LOP_n=2, 20",Q,285575.0,/,/,Pressed,/; Z,337,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,184.0,FIRST,pre N-back,"LOP_n=2, 21",Q,288803.0,Z,2.0,Pressed,/; Z,1621,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,187.0,FIRST,pre N-back,"LOP_n=2, 22",Q,290796.0,Z,2.0,Pressed,/; Z,385,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,190.0,FIRST,pre N-back,"LOP_n=2, 23",Q,293206.0,Z,2.0,Pressed,/; Z,803,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,193.0,FIRST,pre N-back,"LOP_n=2, 24",Q,295204.0,Z,2.0,Pressed,/; Z,390,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,196.0,FIRST,pre N-back,"LOP_n=2, 25",Q,297374.0,Z,2.0,Pressed,/; Z,563,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,199.0,FIRST,pre N-back,"LOP_n=2, 26",Q,299271.0,Z,2.0,Pressed,/; Z,290,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,202.0,FIRST,pre N-back,"LOP_n=2, 27",Q,301208.0,/,/,Pressed,/; Z,332,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,205.0,FIRST,pre N-back,"LOP_n=2, 28",Q,303176.0,Z,2.0,Pressed,/; Z,360,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,208.0,FIRST,pre N-back,"LOP_n=2, 29",Q,305159.0,Z,2.0,Pressed,/; Z,378,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,211.0,FIRST,pre N-back,"LOP_n=2, 30",Q,309476.0,Z,2.0,Pressed,/; Z,2708,Correct
1101.0,AutoBiography(AB) first,B to A,M,26.0,214.0,FIRST,pre N-back,"LOP_n=2, 31",Q,311344.0,Z,2.0,Pressed,/; Z,260,Correct
