order,participant_group,participant_id,session_id,block_name,trial_name,event_name,cumulative_time,participant_response,key,pressed_or_released,correct_response,r_reaction_time,error_code,all_loction_trial_variable,cr,reaction_time_ms,correct_response_clean,accuracy,nback_level,session_number,rt_too_fast,rt_too_slow,rt_valid
27,B,1101,1st,n_back1,"LOP_n=1, 1",Q,164467,Z,Z,Pressed,/; Z,425,C,,Correct,425.0,/; Z,1,1,1,False,False,True
30,B,1101,1st,n_back1,"LOP_n=1, 2",Q,167452,Z,Z,Pressed,/; Z,1375,C,,Correct,1375.0,/; Z,1,1,1,False,False,True
33,B,1101,1st,n_back1,"LOP_n=1, 3",Q,169590,Z,Z,Pressed,/; Z,523,C,,Correct,523.0,/; Z,1,1,1,False,False,True
36,B,1101,1st,n_back1,"LOP_n=1, 4",Q,171550,Z,Z,Pressed,/; Z,345,C,,Correct,345.0,/; Z,1,1,1,False,False,True
39,B,1101,1st,n_back1,"LOP_n=1, 5",Q,173487,Z,Z,Pressed,/; Z,327,C,,Correct,327.0,/; Z,1,1,1,False,False,True
42,B,1101,1st,n_back1,"LOP_n=1, 6",Q,175400,/,/,Pressed,/; Z,298,C,,Correct,298.0,/; Z,1,1,1,False,False,True
45,B,1101,1st,n_back1,"LOP_n=1, 7",Q,177071,Z,Z,Pressed,/; Z,55,C,,Correct,55.0,/; Z,1,1,1,True,False,False
48,B,1101,1st,n_back1,"LOP_n=1, 8",Q,178760,Z,Z,Pressed,/; Z,77,C,,Correct,77.0,/; Z,1,1,1,True,False,False
51,B,1101,1st,n_back1,"LOP_n=1, 9",Q,180502,Z,Z,Pressed,/; Z,131,C,,Correct,131.0,/; Z,1,1,1,False,False,True
54,B,1101,1st,n_back1,"LOP_n=1, 10",Q,182233,Z,Z,Pressed,/; Z,115,C,,Incorrect,115.0,/; Z,0,1,1,False,False,True
57,B,1101,1st,n_back1,"LOP_n=1, 11",Q,184041,Z,Z,Pressed,/; Z,194,C,,Correct,194.0,/; Z,1,1,1,False,False,True
60,B,1101,1st,n_back1,"LOP_n=1, 12",Q,185789,Z,Z,Pressed,/; Z,132,C,,Correct,132.0,/; Z,1,1,1,False,False,True
63,B,1101,1st,n_back1,"LOP_n=1, 13",Q,187520,Z,Z,Pressed,/; Z,120,C,,Correct,120.0,/; Z,1,1,1,False,False,True
66,B,1101,1st,n_back1,"LOP_n=1, 14",Q,189314,Z,Z,Pressed,/; Z,184,C,,Correct,184.0,/; Z,1,1,1,False,False,True
69,B,1101,1st,n_back1,"LOP_n=1, 15",Q,191095,Z,Z,Pressed,/; Z,169,C,,Correct,169.0,/; Z,1,1,1,False,False,True
72,B,1101,1st,n_back1,"LOP_n=1, 16",Q,192832,Z,Z,Pressed,/; Z,127,C,,Correct,127.0,/; Z,1,1,1,False,False,True
75,B,1101,1st,n_back1,"LOP_n=1, 17",Q,194688,/,/,Pressed,/; Z,241,C,,Correct,241.0,/; Z,1,1,1,False,False,True
78,B,1101,1st,n_back1,"LOP_n=1, 18",Q,196407,Z,Z,Pressed,/; Z,109,C,,Correct,109.0,/; Z,1,1,1,False,False,True
81,B,1101,1st,n_back1,"LOP_n=1, 19",Q,198252,Z,Z,Pressed,/; Z,235,C,,Correct,235.0,/; Z,1,1,1,False,False,True
84,B,1101,1st,n_back1,"LOP_n=1, 20",Q,200016,Z,Z,Pressed,/; Z,154,C,,Incorrect,154.0,/; Z,0,1,1,False,False,True
87,B,1101,1st,n_back1,"LOP_n=1, 21",Q,201896,Z,Z,Pressed,/; Z,271,C,,Correct,271.0,/; Z,1,1,1,False,False,True
90,B,1101,1st,n_back1,"LOP_n=1, 22",Q,203565,Z,Z,Pressed,/; Z,59,C,,Correct,59.0,/; Z,1,1,1,True,False,False
93,B,1101,1st,n_back1,"LOP_n=1, 23",Q,205317,Z,Z,Pressed,/; Z,136,C,,Correct,136.0,/; Z,1,1,1,False,False,True
