participant_id,sam_variable,sam_score,emotion,timepoint
1101,sam_neg_v1_mean,6.0,Negative,1
1106,sam_neg_v1_mean,5.0,Negative,1
1107,sam_neg_v1_mean,6.0,Negative,1
1108,sam_neg_v1_mean,5.0,Negative,1
1122,sam_neg_v1_mean,9.0,Negative,1
1123,sam_neg_v1_mean,4.0,Negative,1
1126,sam_neg_v1_mean,7.0,Negative,1
1128,sam_neg_v1_mean,8.0,Negative,1
1135,sam_neg_v1_mean,7.0,Negative,1
1150,sam_neg_v1_mean,5.0,Negative,1
1151,sam_neg_v1_mean,2.0,Negative,1
1156,sam_neg_v1_mean,1.0,Negative,1
1157,sam_neg_v1_mean,7.0,Negative,1
1159,sam_neg_v1_mean,4.0,Negative,1
1162,sam_neg_v1_mean,7.0,Negative,1
1170,sam_neg_v1_mean,6.0,Negative,1
1171,sam_neg_v1_mean,7.0,Negative,1
1207,sam_neg_v1_mean,5.0,Negative,1
1208,sam_neg_v1_mean,7.0,Negative,1
1214,sam_neg_v1_mean,7.0,Negative,1
1229,sam_neg_v1_mean,8.0,Negative,1
1239,sam_neg_v1_mean,5.0,Negative,1
1249,sam_neg_v1_mean,5.0,Negative,1
1101,sam_neg_v2_mean,5.0,Negative,2
1106,sam_neg_v2_mean,4.0,Negative,2
1107,sam_neg_v2_mean,5.0,Negative,2
1108,sam_neg_v2_mean,3.0,Negative,2
1122,sam_neg_v2_mean,7.0,Negative,2
1123,sam_neg_v2_mean,2.0,Negative,2
1126,sam_neg_v2_mean,7.0,Negative,2
1128,sam_neg_v2_mean,8.0,Negative,2
1135,sam_neg_v2_mean,5.0,Negative,2
1150,sam_neg_v2_mean,6.0,Negative,2
1151,sam_neg_v2_mean,1.0,Negative,2
1156,sam_neg_v2_mean,3.0,Negative,2
1157,sam_neg_v2_mean,4.0,Negative,2
1159,sam_neg_v2_mean,4.0,Negative,2
1162,sam_neg_v2_mean,5.0,Negative,2
1170,sam_neg_v2_mean,6.0,Negative,2
1171,sam_neg_v2_mean,7.0,Negative,2
1207,sam_neg_v2_mean,2.0,Negative,2
1208,sam_neg_v2_mean,7.0,Negative,2
1214,sam_neg_v2_mean,5.0,Negative,2
1229,sam_neg_v2_mean,7.0,Negative,2
1239,sam_neg_v2_mean,4.0,Negative,2
1249,sam_neg_v2_mean,4.0,Negative,2
1101,sam_neg_v3_mean,5.0,Negative,3
1106,sam_neg_v3_mean,2.0,Negative,3
1107,sam_neg_v3_mean,3.0,Negative,3
1108,sam_neg_v3_mean,3.0,Negative,3
1122,sam_neg_v3_mean,6.0,Negative,3
1123,sam_neg_v3_mean,2.0,Negative,3
1126,sam_neg_v3_mean,4.0,Negative,3
1128,sam_neg_v3_mean,5.0,Negative,3
1135,sam_neg_v3_mean,2.0,Negative,3
1150,sam_neg_v3_mean,3.0,Negative,3
1151,sam_neg_v3_mean,7.0,Negative,3
1156,sam_neg_v3_mean,1.0,Negative,3
1157,sam_neg_v3_mean,4.0,Negative,3
1159,sam_neg_v3_mean,4.0,Negative,3
1162,sam_neg_v3_mean,4.0,Negative,3
1170,sam_neg_v3_mean,4.0,Negative,3
1171,sam_neg_v3_mean,3.0,Negative,3
1207,sam_neg_v3_mean,2.0,Negative,3
1208,sam_neg_v3_mean,4.0,Negative,3
1214,sam_neg_v3_mean,3.0,Negative,3
1229,sam_neg_v3_mean,1.0,Negative,3
1239,sam_neg_v3_mean,4.0,Negative,3
1249,sam_neg_v3_mean,4.0,Negative,3
1101,sam_neg_v3_1_mean,4.0,Negative,3_1
1106,sam_neg_v3_1_mean,4.0,Negative,3_1
1107,sam_neg_v3_1_mean,4.0,Negative,3_1
1108,sam_neg_v3_1_mean,3.0,Negative,3_1
1122,sam_neg_v3_1_mean,5.0,Negative,3_1
1123,sam_neg_v3_1_mean,1.0,Negative,3_1
1126,sam_neg_v3_1_mean,6.0,Negative,3_1
1128,sam_neg_v3_1_mean,2.0,Negative,3_1
1135,sam_neg_v3_1_mean,3.0,Negative,3_1
1150,sam_neg_v3_1_mean,5.0,Negative,3_1
1151,sam_neg_v3_1_mean,3.0,Negative,3_1
1156,sam_neg_v3_1_mean,7.0,Negative,3_1
1157,sam_neg_v3_1_mean,3.0,Negative,3_1
1159,sam_neg_v3_1_mean,5.0,Negative,3_1
1162,sam_neg_v3_1_mean,3.0,Negative,3_1
1170,sam_neg_v3_1_mean,5.0,Negative,3_1
1171,sam_neg_v3_1_mean,4.0,Negative,3_1
1207,sam_neg_v3_1_mean,8.0,Negative,3_1
1208,sam_neg_v3_1_mean,4.0,Negative,3_1
1214,sam_neg_v3_1_mean,1.0,Negative,3_1
1229,sam_neg_v3_1_mean,9.0,Negative,3_1
1239,sam_neg_v3_1_mean,3.0,Negative,3_1
1249,sam_neg_v3_1_mean,3.0,Negative,3_1
1101,sam_neg_v3_2_mean,4.0,Negative,3_2
1106,sam_neg_v3_2_mean,5.0,Negative,3_2
1107,sam_neg_v3_2_mean,4.0,Negative,3_2
1108,sam_neg_v3_2_mean,3.0,Negative,3_2
1122,sam_neg_v3_2_mean,8.0,Negative,3_2
1123,sam_neg_v3_2_mean,1.0,Negative,3_2
1126,sam_neg_v3_2_mean,6.0,Negative,3_2
1128,sam_neg_v3_2_mean,2.0,Negative,3_2
1135,sam_neg_v3_2_mean,7.0,Negative,3_2
1150,sam_neg_v3_2_mean,5.0,Negative,3_2
1151,sam_neg_v3_2_mean,5.0,Negative,3_2
1156,sam_neg_v3_2_mean,9.0,Negative,3_2
1157,sam_neg_v3_2_mean,6.0,Negative,3_2
1159,sam_neg_v3_2_mean,5.0,Negative,3_2
1162,sam_neg_v3_2_mean,7.0,Negative,3_2
1170,sam_neg_v3_2_mean,4.0,Negative,3_2
1171,sam_neg_v3_2_mean,8.0,Negative,3_2
1207,sam_neg_v3_2_mean,2.0,Negative,3_2
1208,sam_neg_v3_2_mean,4.0,Negative,3_2
1214,sam_neg_v3_2_mean,3.0,Negative,3_2
1229,sam_neg_v3_2_mean,9.0,Negative,3_2
1239,sam_neg_v3_2_mean,3.0,Negative,3_2
1249,sam_neg_v3_2_mean,8.0,Negative,3_2
1101,sam_neg_v4_mean,4.0,Negative,4
1106,sam_neg_v4_mean,4.0,Negative,4
1107,sam_neg_v4_mean,4.0,Negative,4
1108,sam_neg_v4_mean,3.0,Negative,4
1122,sam_neg_v4_mean,4.0,Negative,4
1123,sam_neg_v4_mean,1.0,Negative,4
1126,sam_neg_v4_mean,6.0,Negative,4
1128,sam_neg_v4_mean,8.0,Negative,4
1135,sam_neg_v4_mean,2.0,Negative,4
1150,sam_neg_v4_mean,5.0,Negative,4
1151,sam_neg_v4_mean,3.0,Negative,4
1156,sam_neg_v4_mean,3.0,Negative,4
1157,sam_neg_v4_mean,4.0,Negative,4
1159,sam_neg_v4_mean,4.0,Negative,4
1162,sam_neg_v4_mean,4.0,Negative,4
1170,sam_neg_v4_mean,5.0,Negative,4
1171,sam_neg_v4_mean,4.0,Negative,4
1207,sam_neg_v4_mean,2.0,Negative,4
1208,sam_neg_v4_mean,4.0,Negative,4
1214,sam_neg_v4_mean,3.0,Negative,4
1229,sam_neg_v4_mean,9.0,Negative,4
1239,sam_neg_v4_mean,3.0,Negative,4
1249,sam_neg_v4_mean,6.0,Negative,4
1101,sam_neg_v5_mean,6.0,Negative,5
1106,sam_neg_v5_mean,,Negative,5
1107,sam_neg_v5_mean,6.0,Negative,5
1108,sam_neg_v5_mean,3.0,Negative,5
1122,sam_neg_v5_mean,9.0,Negative,5
1123,sam_neg_v5_mean,5.0,Negative,5
1126,sam_neg_v5_mean,7.0,Negative,5
1128,sam_neg_v5_mean,8.0,Negative,5
1135,sam_neg_v5_mean,8.0,Negative,5
1150,sam_neg_v5_mean,5.0,Negative,5
1151,sam_neg_v5_mean,7.0,Negative,5
1156,sam_neg_v5_mean,3.0,Negative,5
1157,sam_neg_v5_mean,6.0,Negative,5
1159,sam_neg_v5_mean,5.0,Negative,5
1162,sam_neg_v5_mean,6.0,Negative,5
1170,sam_neg_v5_mean,5.0,Negative,5
1171,sam_neg_v5_mean,5.0,Negative,5
1207,sam_neg_v5_mean,4.0,Negative,5
1208,sam_neg_v5_mean,7.0,Negative,5
1214,sam_neg_v5_mean,7.0,Negative,5
1229,sam_neg_v5_mean,8.0,Negative,5
1239,sam_neg_v5_mean,5.0,Negative,5
1249,sam_neg_v5_mean,6.0,Negative,5
1101,sam_neg_v6_mean,6.0,Negative,6
1106,sam_neg_v6_mean,5.0,Negative,6
1107,sam_neg_v6_mean,3.0,Negative,6
1108,sam_neg_v6_mean,2.0,Negative,6
1122,sam_neg_v6_mean,4.0,Negative,6
1123,sam_neg_v6_mean,1.0,Negative,6
1126,sam_neg_v6_mean,4.0,Negative,6
1128,sam_neg_v6_mean,5.0,Negative,6
1135,sam_neg_v6_mean,3.0,Negative,6
1150,sam_neg_v6_mean,3.0,Negative,6
1151,sam_neg_v6_mean,1.0,Negative,6
1156,sam_neg_v6_mean,1.0,Negative,6
1157,sam_neg_v6_mean,5.0,Negative,6
1159,sam_neg_v6_mean,4.0,Negative,6
1162,sam_neg_v6_mean,1.0,Negative,6
1170,sam_neg_v6_mean,2.0,Negative,6
1171,sam_neg_v6_mean,4.0,Negative,6
1207,sam_neg_v6_mean,3.0,Negative,6
1208,sam_neg_v6_mean,3.0,Negative,6
1214,sam_neg_v6_mean,5.0,Negative,6
1229,sam_neg_v6_mean,1.0,Negative,6
1239,sam_neg_v6_mean,3.0,Negative,6
1249,sam_neg_v6_mean,3.0,Negative,6
1101,sam_neg_v6_3_mean,5.0,Negative,6_3
1106,sam_neg_v6_3_mean,6.0,Negative,6_3
1107,sam_neg_v6_3_mean,5.0,Negative,6_3
1108,sam_neg_v6_3_mean,3.0,Negative,6_3
1122,sam_neg_v6_3_mean,3.0,Negative,6_3
1123,sam_neg_v6_3_mean,2.0,Negative,6_3
1126,sam_neg_v6_3_mean,4.0,Negative,6_3
1128,sam_neg_v6_3_mean,6.0,Negative,6_3
1135,sam_neg_v6_3_mean,8.0,Negative,6_3
1150,sam_neg_v6_3_mean,5.0,Negative,6_3
1151,sam_neg_v6_3_mean,4.0,Negative,6_3
1156,sam_neg_v6_3_mean,7.0,Negative,6_3
1157,sam_neg_v6_3_mean,4.0,Negative,6_3
1159,sam_neg_v6_3_mean,5.0,Negative,6_3
1162,sam_neg_v6_3_mean,3.0,Negative,6_3
1170,sam_neg_v6_3_mean,5.0,Negative,6_3
1171,sam_neg_v6_3_mean,4.0,Negative,6_3
1207,sam_neg_v6_3_mean,2.0,Negative,6_3
1208,sam_neg_v6_3_mean,3.0,Negative,6_3
1214,sam_neg_v6_3_mean,3.0,Negative,6_3
1229,sam_neg_v6_3_mean,8.0,Negative,6_3
1239,sam_neg_v6_3_mean,3.0,Negative,6_3
1249,sam_neg_v6_3_mean,4.0,Negative,6_3
1101,sam_neg_v6_4_mean,4.0,Negative,6_4
1106,sam_neg_v6_4_mean,5.0,Negative,6_4
1107,sam_neg_v6_4_mean,4.0,Negative,6_4
1108,sam_neg_v6_4_mean,5.0,Negative,6_4
1122,sam_neg_v6_4_mean,6.0,Negative,6_4
1123,sam_neg_v6_4_mean,1.0,Negative,6_4
1126,sam_neg_v6_4_mean,5.0,Negative,6_4
1128,sam_neg_v6_4_mean,2.0,Negative,6_4
1135,sam_neg_v6_4_mean,8.0,Negative,6_4
1150,sam_neg_v6_4_mean,4.0,Negative,6_4
1151,sam_neg_v6_4_mean,2.0,Negative,6_4
1156,sam_neg_v6_4_mean,9.0,Negative,6_4
1157,sam_neg_v6_4_mean,4.0,Negative,6_4
