Participant_Name,Order,Group_ID,Sex,Age,Cog_Reap,Ex_Sup,SAM_Neg_V1_mean,SAM_Neg_V2_mean,SAM_Neg_V3_mean,SAM_Neg_V3.1_mean,SAM_Neg_V3.2_mean,SAM_Neg_V4_mean,SAM_Neg_V5_mean,SAM_Neg_V6_mean,SAM_Neg_V6.3_mean,SAM_Neg_V6.4_mean,SAM_Neg_V7_mean,SAM_Pos_V1_mean,SAM_Pos_V2_mean,SAM_Pos_V3_mean,SAM_Pos_V3.1_mean,SAM_Pos_V3.2_mean,SAM_Pos_V4_mean,SAM_Pos_V5_mean,SAM_Pos_V6_mean,SAM_Pos_V6.3_mean,SAM_Pos_V6.4_mean,SAM_Pos_V7_mean,Traite_Result_Neg,Traite_Result_Pos,Result_State_Neg_Post,Result_State_Pos_Post,Result_State_Neg_Pre,Result_State_Pos_Pre
1101,1,2,2,26,30,11,6,5,5,4,4,4,6,6,5,4,5,5,6,6,4,4,3,7,7,5,5,5,10,12,13,9,13,8
1106,2,4,2,26,23,16,5,4,2,4,5,4, ,5,6,5,4,6,5,6,6,6,5,7,8,6,6,6,17,14,12,11,12,11
1107,2,3,2,28,26,11,6,5,3,4,4,4,6,3,5,4,3,7,5,6,6,4,4,4,8,7,5,4,16,16,18,12,12,12
1108,1,2,2,25,26,15,5,3,3,3,3,3,3,2,3,5,5,4,4,4,4,4,4,4,5,5,5,4,11,10,12,12,12,12
1122,1,2,1,24,37,14,9,7,6,5,8,4,9,4,3,6,3,7,5,7,3,7,6,5,8,4,4,4,20,20,9,10,10,14
1123,2,1,2,29,23,12,4,2,2,1,1,1,5,1,2,1,1,5,3,5,7,5,5,7,4,5,3,4,13,14,18,13,15,15
1126,1,1,1,29,22,12,7,7,4,6,6,6,7,4,4,5,4,6,5,7,7,6,6,6,7,6,6,6,12,13,14,12,11,10
1128,1,1,1,20,21,21,8,8,5,2,2,8,8,5,6,2,7,8,8,7,8,8,2,2,8,8,2,8,10,10,12,8,7,11
1135,2,4,1,21,35,17,7,5,2,3,7,2,8,3,8,8,1,7,7,8,5,5,4,8,8,7,6,5,13,12,18,13,13,12
1140,2,3,2,25, , , , , , , , , , , , , ,5,3,5,2,2,2,5,6,3,2,3, ,19, ,17, ,13
1150,1,2,1,26,20,12,5,6,3,5,5,5,5,3,5,4,3,3,3,6,3,3,3,3,3,3,3,3,13,15,15,15,14,18
1151,1,2,1,27,19,19,2,1,7,3,5,3,7,1,4,2,4,8,3,8,4,5,7,8,9,5,4,3,16,16,22,19,19,8
1156,1,1,2,29,25,20,1,3,1,7,9,3,3,1,7,9,1,5,5,7,5,3,5,5,7,5,5,5,12,14,16,12,14,12
1157,1,2,2,24,28,18,7,4,4,3,6,4,6,5,4,4,4,3,4,6,5,5,4,5,6,4,3,3,17,15,17,20,9,18
1159,2,3,1,19,31,16,4,4,4,5,5,4,5,4,5,5,5,4,4,4,4,4,4,4,9,7,9,7,15,18,17,17,17,19
1162,2,4,1,31,29,18,7,5,4,3,7,4,6,1,3,4,4,8,4,9,4,4,5,7,7,5,6,6,12,9,16,12,10,9
1170,2,4,2,25,31,18,6,6,4,5,4,5,5,2,5,5,4,5,5,7,5,5,6,5,7,6,6,6,13,13,10,12,12,14
1171,2,4,2,28,29,14,7,7,3,4,8,4,5,4,4,7,5,6,5,5,5,5,5,4,5,5,5,5,11,10,15,14,12,15
1207,2,4,1,25,25,21,5,2,2,8,2,2,4,3,2,2,2,8,7,9,7,6,5,7,8,5,5,5,14,12,17,10,14,11
1208,1,1,1,19,30,20,7,7,4,4,4,4,7,3,3,8,3,6,9,9,8,2,7,9,9,8,8,9,10,12,10,9,6,6
1214,2,3,2,34,27,18,7,5,3,1,3,3,7,5,3,3,3,9,5,9,5,5,3,9,9,5,1,1,10,12,13,10,8,14
1229,2,3,1,19,28,14,8,7,1,9,9,9,8,1,8,8,8,8,4,9,5,4,3,7,9,6,8,9,10,7,13,6,11,8
1239,1,1,2,26,28,18,5,4,4,3,3,3,5,3,3,3,3,6,6,6,7,6,5,7,7,8,8,6,15,10,17,14,15,15
1249,2,3,1,25,29,21,5,4,4,3,8,6,6,3,4,7,4,5,6,6,5,5,4,6,6,4,4,4,19,19,20,18,15,15
