emotion_condition,nback_level,participants,trials,correct,accuracy_mean,accuracy_sd,accuracy_median
Negative,1,22,1320,1289,0.9765151515151516,0.15149487538647016,1.0
Negative,2,22,1980,1764,0.8909090909090909,0.3118319953890865,1.0
Negative,3,22,1320,1018,0.7712121212121212,0.42021156140109767,1.0
Negative,4,22,1320,907,0.6871212121212121,0.4638411833491949,1.0
Neutral,1,23,1320,1301,0.9856060606060606,0.11915330289902862,1.0
Neutral,2,23,1980,1774,0.895959595959596,0.3053900799694511,1.0
Neutral,3,23,1320,990,0.75,0.43317681510709116,1.0
Neutral,4,23,1320,984,0.7454545454545455,0.43577049770057563,1.0
Positive,1,22,1320,1309,0.9916666666666667,0.09094038793181936,1.0
Positive,2,22,1980,1779,0.8984848484848484,0.3020859387221632,1.0
Positive,3,22,1320,1019,0.771969696969697,0.4197212681982194,1.0
Positive,4,22,1320,948,0.7181818181818181,0.45005570909789827,1.0
