term,beta,se,z,p,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high
Intercept,4.185505464534773,0.1864327735038158,22.450481135223292,1.2659414019776495e-111,3.8201039429293813,4.550906986140165,65.72671504519103,45.60894880221921,94.71827753288497
"C(emotion_condition, Treatment(reference='Neutral'))[T.Negative]",-0.47750898233981304,0.22472317495743357,-2.1248764504607123,0.033596923467309116,-0.9179583117478762,-0.03705965293174984,0.620326713585817,0.39933352390601784,0.9636186509568958
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]",0.5190505846210087,0.33421992150074237,1.5530210835138856,0.12041809776853796,-0.13600842443625039,1.174109593678268,1.6804314646216025,0.8728352793125785,3.235260964146972
"C(nback_level, Treatment(reference=1))[T.2]",-2.0483634324040914,0.1778493330912113,-11.517408566011174,1.0780460429478181e-30,-2.3969417199373333,-1.6997851448708496,0.1289457594523539,0.09099581887610056,0.18272277876177542
"C(nback_level, Treatment(reference=1))[T.3]",-3.0981563178545866,0.194307006736329,-15.944645383059846,3.1039708829983146e-57,-3.478991053001573,-2.7173215827076,0.045132335415561546,0.03083850976348925,0.06605143100897626
"C(nback_level, Treatment(reference=1))[T.4]",-3.1221868325199376,0.1936551945220916,-16.12240167492005,1.775719334338936e-58,-3.5017440392023356,-2.7426296258375396,0.04406070959589142,0.030144763900414137,0.06440077409486056
"C(emotion_condition, Treatment(reference='Neutral'))[T.Negative]:C(nback_level, Treatment(reference=1))[T.2]",0.4308881392134523,0.21970993619247378,1.9611681960345155,0.04985940556583477,0.0002645772306103522,0.8615117011962943,1.5386234287032998,1.000264612234253,2.3667357881099202
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]:C(nback_level, Treatment(reference=1))[T.2]",-0.49814062133740716,0.346192971546256,-1.438910267624682,0.1501759480419087,-1.1766663772689687,0.18038513459415434,0.6076594790055438,0.30830479928828863,1.1976785417472915
"C(emotion_condition, Treatment(reference='Neutral'))[T.Negative]:C(nback_level, Treatment(reference=1))[T.3]",0.5982479011345079,0.24164416362117694,2.475739087464057,0.013296070468079128,0.12463404336269712,1.0718617589063186,1.818929063290931,1.1327338457381562,2.920812289429215
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]:C(nback_level, Treatment(reference=1))[T.3]",-0.40309294840615106,0.36776171734882324,-1.0960709867030995,0.2730477103271367,-1.1238926693024438,0.3177067724901417,0.6682499836659371,0.3250121641163695,1.373973315379164
"C(emotion_condition, Treatment(reference='Neutral'))[T.Negative]:C(nback_level, Treatment(reference=1))[T.4]",0.19447105735784917,0.26549587682985754,0.7324824011578739,0.463874180516867,-0.3258912992725538,0.7148334139882522,1.2146683266655782,0.7218836524451888,2.0438461777143258
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]:C(nback_level, Treatment(reference=1))[T.4]",-0.6619793679293279,0.3701577818383698,-1.7883707986406256,0.07371620432004063,-1.387475288929767,0.06351655307111137,0.5158293073535293,0.2497049423027414,1.0655771242293934
