term,beta,se,z,p,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high,nback_level,contrast
"C(emotion_condition, Treatment(reference='Neutral'))[T.Negative]",-0.5054135108839194,0.2256502194496996,-2.239809525186758,0.025103291236268577,-0.9476798141088902,-0.06314720765894855,0.6032560708930709,0.3876393762904155,0.9388052641914844,1,Negative vs Neutral
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]",0.5628133647117387,0.3589546517659991,1.5679233071441965,0.11689903171514568,-0.1407248248327364,1.2663515542562138,1.7556047153369037,0.8687283312738986,3.5478846557168513,1,Positive vs Neutral
"C(emotion_condition, Treatment(reference='Neutral'))[T.Negative]",-0.0493581040334766,0.10971332220833031,-0.4498825032365025,0.6527951643179333,-0.2643922641860425,0.16567605611908928,0.9518402108412117,0.7676723502180476,1.1801907242287737,2,Negative vs Neutral
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]",0.023699209688621506,0.07227584451875077,0.3278994503132113,0.7429876893647351,-0.11795884252034668,0.1653572618975897,1.0239822676185524,0.8887326298570293,1.1798145462104972,2,Positive vs Neutral
"C(emotion_condition, Treatment(reference='Neutral'))[T.Negative]",0.12071366892462733,0.10287735672996154,1.1733745185685862,0.24064565102888147,-0.08092224509077663,0.3223495829400313,1.1283017982435082,0.9222653993191562,1.3803672444605954,3,Negative vs Neutral
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]",0.11551931244600969,0.09245283780903629,1.2494945010191876,0.21148426353137617,-0.06568491992822445,0.2967235448202438,1.1224561917135598,0.936425866943819,1.345443293261458,3,Positive vs Neutral
"C(emotion_condition, Treatment(reference='Neutral'))[T.Negative]",-0.2775563594005143,0.10316818387515454,-2.6903290236880557,0.007138160231169555,-0.4797622841462232,-0.07535043465480545,0.75763286366568,0.6189305039131743,0.9274184298190328,4,Negative vs Neutral
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]",-0.14782306862786856,0.10684527590064762,-1.3835246095983227,0.16650406679897656,-0.35723596131138324,0.06158982405564614,0.8625837195624553,0.6996073979777192,1.0635260224590946,4,Positive vs Neutral
"C(emotion_condition, Treatment(reference='Negative'))[T.Positive]",1.0682268755956488,0.3799629663354942,2.811397347215258,0.004932682789525236,0.3235131461190751,1.8129406050722223,2.9102147496632056,1.3819743237476343,6.128442289861156,1,Positive vs Negative
"C(emotion_condition, Treatment(reference='Negative'))[T.Positive]",0.07305731372209716,0.11642636532424618,0.6274980200458318,0.5303328336284595,-0.15513416916432837,0.30124879660852266,1.0757921928025949,0.8563002806829086,1.3515455596628247,2,Positive vs Negative
"C(emotion_condition, Treatment(reference='Negative'))[T.Positive]",-0.005194356478617742,0.10152086720755861,-0.051165406891155896,0.9591937170242849,-0.204171599884706,0.19378288692747053,0.9948191108628482,0.8153224499439928,1.2138327153949107,3,Positive vs Negative
"C(emotion_condition, Treatment(reference='Negative'))[T.Positive]",0.12973329077264537,0.0902353602542106,1.4377212038292018,0.15051317432981667,-0.04712476545760447,0.3065913470028952,1.1385246877874171,0.9539683678651696,1.358785582798948,4,Positive vs Negative
