emotion_condition,nback_level,participants,trials,mean_rt,sd_rt,median_rt,mean_log_rt
Negative,1,22,1191,487.1427371956339,403.1116801431032,347.0,5.965759468549879
Negative,2,22,1680,800.8470238095238,752.9568980642495,500.5,6.335614874393018
Negative,3,22,977,845.4227226202661,858.5900866543863,451.0,6.341394198450866
Negative,4,22,856,853.4369158878504,862.3778229210403,483.5,6.368340618021793
Neutral,1,23,1244,643.4622186495177,555.7259761778051,437.5,6.191415323617775
Neutral,2,23,1709,1036.5371562317146,900.3671177121295,720.0,6.609637237801912
Neutral,3,23,943,1172.933191940615,1007.6630479726681,829.0,6.692840843966701
Neutral,4,23,933,1060.7202572347267,1018.8409565952797,661.0,6.575907963453
Positive,1,22,1166,535.9030874785592,573.7147981095299,331.0,5.956002540920998
Positive,2,22,1653,821.8191167574108,817.7041691850482,475.0,6.318988656130613
Positive,3,22,961,869.149843912591,909.8564254998772,477.0,6.344404037568012
Positive,4,22,871,882.7336394948335,878.0107873845487,532.0,6.371217223687522
