term,beta,se,z,p,ci_low,ci_high,percent_change,percent_ci_low,percent_ci_high
Intercept,6.203472741959408,0.08375093168112267,74.07049232095481,0.0,6.039323932192733,6.367621551726083,49346.32060673079,41860.92546614385,58167.03282596346
"C(emotion_condition, Treatment(reference='Neutral'))[T.Negative]",-0.22686840856726803,0.029336007786152384,-7.733445198850738,1.0467444090177975e-14,-0.28436592727831334,-0.16937088985622276,-20.297434286218053,-24.750876275068244,-15.580425832188105
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]",-0.24632234477668863,0.029499619719717294,-8.350017631313698,6.825277723129359e-17,-0.3041405369849621,-0.18850415256841518,-21.83297830006028,-26.224282300462896,-17.180293571346926
"C(nback_level, Treatment(reference=1))[T.2]",0.425382593242225,0.026943925656126102,15.787699189464915,3.78122244449924e-56,0.3725734693540931,0.4781917171303569,53.017574258447134,45.14651134303016,61.315472313373796
"C(nback_level, Treatment(reference=1))[T.3]",0.5052789048960258,0.03121565385236499,16.186715398810854,6.258119007575415e-59,0.4440973475915214,0.5664604622005301,65.74477262878891,55.90822511369238,76.20192670230269
"C(nback_level, Treatment(reference=1))[T.4]",0.4075587794687604,0.0313183134161952,13.01343319650174,1.0262568309021487e-38,0.3461760131164802,0.4689415458210406,50.31437969313011,41.365141511225566,59.83015686180531
"C(emotion_condition, Treatment(reference='Neutral'))[T.Negative]:C(nback_level, Treatment(reference=1))[T.2]",-0.05544216703987348,0.03841293399706863,-1.4433202900904258,0.14893026665343037,-0.13073013421464222,0.01984580013489526,-5.39332640718505,-12.25454625996598,2.0044037246089497
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]:C(nback_level, Treatment(reference=1))[T.2]",-0.06475102591015146,0.038599787507056504,-1.6774969524978394,0.09344534489228169,-0.1404052192348813,0.010903167414578405,-6.26992020578504,-13.099397391436662,1.0962823560924484
"C(emotion_condition, Treatment(reference='Neutral'))[T.Negative]:C(nback_level, Treatment(reference=1))[T.3]",-0.11230254890227766,0.044136755377082004,-2.5444223967716195,0.010945863084032023,-0.19880899983581296,-0.025796097968742354,-10.622619369391817,-18.0293557552911,-2.546622123148057
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]:C(nback_level, Treatment(reference=1))[T.3]",-0.10257174581720743,0.0443462955730611,-2.3129721319838126,0.02072417138967928,-0.18948888798817523,-0.015654603646239634,-9.748660413108412,-17.26180892760493,-1.5532707247446709
"C(emotion_condition, Treatment(reference='Neutral'))[T.Negative]:C(nback_level, Treatment(reference=1))[T.4]",0.010154369636460285,0.04505626270257903,0.2253708813687081,0.8216907622707323,-0.07815428253856993,0.0984630218114905,1.020610019662671,-7.517826830832974,10.347359918517874
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]:C(nback_level, Treatment(reference=1))[T.4]",0.006099274796015655,0.045044041773688266,0.13540691633889848,0.8922901560492886,-0.08218542479853104,0.09438397439056236,0.6117913246944218,-7.889885213421355,9.8981645720285
Group Var,0.2902805791904461,0.08616693906756653,3.3688161878748746,0.0007549175485685417,0.12139648195995834,0.45916467642093384,33.68025143779872,12.907248050514042,58.275132314605415
