term,beta,se,z,p,ci_low,ci_high,percent_change,percent_ci_low,percent_ci_high,nback_level,contrast
"C(emotion_condition, Treatment(reference='Neutral'))[T.Negative]",-0.21835874506659292,0.025573648537505576,-8.53842754374114,1.3606066776135929e-17,-0.2684821751533893,-0.16823531497979657,-19.616298263007003,-23.54609495203016,-15.484506633275874,1,Negative vs Neutral
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]",-0.2592533530990502,0.02572542245055606,-10.077710233809839,6.932274820232684e-24,-0.3096742545892182,-0.20883245160888217,-22.83724959423865,-26.63140878783883,-18.846880500072828,1,Positive vs Neutral
"C(emotion_condition, Treatment(reference='Neutral'))[T.Negative]",-0.2844777754363232,0.024868299421143575,-11.439373904049665,2.6579668710203204e-30,-0.33321874665852286,-0.23573680421412352,-24.75929228028262,-28.33865797816888,-21.001143176479943,2,Negative vs Neutral
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]",-0.31338478000093967,0.024906266803024234,-12.582567370670223,2.6333040341481494e-36,-0.3622001659242127,-0.2645693940776666,-26.903140364726553,-30.385699021406875,-23.246361546000095,2,Positive vs Neutral
"C(emotion_condition, Treatment(reference='Neutral'))[T.Negative]",-0.3468489393250191,0.03426401735488595,-10.122833400782161,4.375618211943064e-24,-0.4140051793062509,-0.27969269934378727,-29.308789318746665,-33.900247225158054,-24.39839700151896,3,Negative vs Neutral
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]",-0.3473250746881727,0.03427611973815846,-10.133150349031698,3.93754781578529e-24,-0.4145050349047458,-0.2801451144715996,-29.34243989226639,-33.933279300320066,-24.432592574521806,3,Positive vs Neutral
"C(emotion_condition, Treatment(reference='Neutral'))[T.Negative]",-0.22224411103539315,0.035949149705515715,-6.182179908452578,6.322241393220615e-10,-0.2927031497330427,-0.15178507233774366,-19.928012408278008,-25.375636955813807,-14.082707907436042,4,Negative vs Neutral
"C(emotion_condition, Treatment(reference='Neutral'))[T.Positive]",-0.24308833495206608,0.03580758514859022,-6.788738585507119,1.1311819250904137e-11,-0.31326991221665423,-0.17290675768747793,-21.579776175524913,-26.89474340816136,-15.878395188242633,4,Positive vs Neutral
"C(emotion_condition, Treatment(reference='Negative'))[T.Positive]",-0.04089460803244744,0.026296128158800017,-1.5551570096361138,0.11990868015114739,-0.09243407215654503,0.010644856091650154,-4.006970644085928,-8.82906839877956,1.0701714141750918,1,Positive vs Negative
"C(emotion_condition, Treatment(reference='Negative'))[T.Positive]",-0.02890700456461646,0.025354812330704152,-1.1400993305563014,0.25424492081126204,-0.07860152356756867,0.020787514438335746,-2.8493194035735026,-7.55917940515195,2.1005079748815714,2,Positive vs Negative
"C(emotion_condition, Treatment(reference='Negative'))[T.Positive]",-0.0004761353631537509,0.034325462757051665,-0.013871200121138523,0.9889327384936615,-0.06775280611964596,0.06680053539333847,-0.04760220287000072,-6.550855440480296,6.9082212842791035,3,Positive vs Negative
"C(emotion_condition, Treatment(reference='Negative'))[T.Positive]",-0.02084422391667322,0.03692666229181103,-0.5644762516566707,0.5724300578734012,-0.09321915207789613,0.0515307042445497,-2.062848465394773,-8.90061677731795,5.288151372731531,4,Positive vs Negative
