emotion,timepoint,n,mean,sd,median,minimum,maximum
Negative,1,23,5.782608695652174,1.8818878755878587,6.0,1.0,9.0
Negative,2,23,4.826086956521739,1.8745223370487911,5.0,1.0,8.0
Negative,3,23,3.4782608695652173,1.4730785703105929,4.0,1.0,7.0
Negative,3_1,23,4.130434782608695,1.9841267331701953,4.0,1.0,9.0
Negative,3_2,23,5.130434782608695,2.3219182474467286,5.0,1.0,9.0
Negative,4,23,4.130434782608695,1.8166990000869698,4.0,1.0,9.0
Negative,5,22,5.954545454545454,1.5879688352247414,6.0,3.0,9.0
Negative,6,23,3.130434782608696,1.5167053955587406,3.0,1.0,6.0
Negative,6_3,23,4.434782608695652,1.7009646182125797,4.0,2.0,8.0
Negative,6_4,23,4.826086956521739,2.2084995711412816,5.0,1.0,9.0
Negative,7,23,3.739130434782609,1.7113894223527009,4.0,1.0,8.0
Positive,1,23,6.043478260869565,1.6916441939874305,6.0,3.0,9.0
Positive,2,23,5.130434782608695,1.5463842820677163,5.0,3.0,9.0
Positive,3,23,6.782608695652174,1.5654369630794762,7.0,4.0,9.0
Positive,3_1,23,5.304347826086956,1.4596008983995234,5.0,3.0,8.0
Positive,3_2,23,4.826086956521739,1.336623082556236,5.0,2.0,8.0
Positive,4,23,4.565217391304348,1.3082287455154336,5.0,2.0,7.0
Positive,5,23,5.913043478260869,1.8808374217658008,6.0,2.0,9.0
Positive,6,23,7.130434782608695,1.6598014072359533,7.0,3.0,9.0
Positive,6_3,23,5.608695652173913,1.37308976184048,5.0,3.0,8.0
Positive,6_4,23,5.086956521739131,1.998022738023789,5.0,1.0,9.0
Positive,7,23,5.130434782608695,1.937766939407949,5.0,1.0,9.0
